Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
ygcO	BW25113_RS14395	2887278	2887538	putative 4Fe-4S cluster-containing protein
malG	BW25113_RS20930	4232554	4233444	maltose ABC transporter membrane subunit MalG
ppdB	BW25113_RS14690	2956512	2957075	prepilin-type N-terminal cleavage/methylation domain-containing protein PpdB
nfsA	BW25113_RS04415	886640	887362	NADPH-dependent nitro/quinone reductase NfsA
yecE	BW25113_RS09795	1945652	1946470	DUF72 domain-containing protein YecE
cpdA	BW25113_RS15735	3169365	3170192	cAMP phosphodiesterase
grxD	BW25113_RS08655	1728011	1728358	glutaredoxin 4
phoH	BW25113_RS05315	1080724	1081512	phosphate starvation-inducible protein PhoH
yhbO	BW25113_RS16345	3292333	3292851	protein/nucleic acid deglycase 2
agaV	BW25113_RS16245	3273576	3274049	<i>N</i>-acetyl-D-galactosamine specific PTS enzyme IIB component
ubiX	BW25113_RS12070	2421536	2422105	flavin prenyltransferase
prkB	BW25113_RS17390	3477849	3478718	putative phosphoribulokinase
umpG	BW25113_RS14280	2862872	2863633	broad specificity 5'(3')-nucleotidase and polyphosphatase
hpf	BW25113_RS16600	3339532	3339819	ribosome hibernation-promoting factor
flgG	BW25113_RS05615	1130185	1130967	flagellar basal-body rod protein FlgG
mepH	BW25113_RS08660	1728692	1729507	peptidoglycan endopeptidase/peptidoglycan L,D-carboxypeptidase MepH
yiaK	BW25113_RS18560	3736093	3737091	2,3-diketo-L-gulonate reductase
ybeL	BW25113_RS03340	670474	670956	DUF1451 domain-containing protein YbeL
BW25113_RS03450	BW25113_RS03450	692120	692196	tRNA-Met
rpsA	BW25113_RS04725	957451	959124	30S ribosomal protein S1
mepK	BW25113_RS04800	978531	979079	peptidoglycan L,D-endopeptidase
yfgH	BW25113_RS13070	2623151	2623669	lipoprotein YfgH
casA	BW25113_RS14360	2875989	2877497	type I-E CRISPR system Cascade subunit CasA
fieF	BW25113_RS20315	4096397	4097299	Zn<sup>2+</sup>/Fe<sup>2+</sup>/Cd<sup>2+</sup> exporter
lpxK	BW25113_RS04745	963822	964808	tetraacyldisaccharide 4'-kinase
pdeI	BW25113_RS04325	868435	870783	putative cyclic di-GMP phosphodiesterase PdeI
ykgH	BW25113_RS01595	320407	321075	uncharacterized protein YkgH
nanX	BW25113_RS22215	4493875	4495092	2,7-anhydro-<i>N</i>-acetylneuraminate transporter NanX
ynfC	BW25113_RS08295	1651004	1651714	PF06788 family lipoprotein YnfC
mrp	BW25113_RS11025	2186538	2187647	P-loop NTPase family protein Mrp
pncB	BW25113_RS04830	984610	985812	nicotinate phosphoribosyltransferase
mocA	BW25113_RS14960	3008519	3009097	molybdenum cofactor cytidylyltransferase
bcsA	BW25113_RS18315	3685978	3688596	cellulose synthase catalytic subunit
ibpB	BW25113_RS19160	3859829	3860257	small heat shock protein IbpB
ybdF	BW25113_RS03000	600974	601342	PF04237 family protein YbdF
yajO	BW25113_RS02170	432617	433591	1-deoxyxylulose-5-phosphate synthase YajO
creD	BW25113_RS22920	4627995	4629347	putative inner membrane protein CreD
BW25113_RS06140	BW25113_RS06140	1223170	1223463	YcgL domain-containing protein
BW25113_RS02915	BW25113_RS02915	578331	578591	tail fiber assembly protein
fdnH	BW25113_RS07735	1544718	1545602	formate dehydrogenase N subunit &beta;
ybiO	BW25113_RS04195	838711	840936	moderate conductance mechanosensitive channel YbiO
ygiM	BW25113_RS15870	3194566	3195186	putative signal transduction protein (SH3 domain)
wcaJ	BW25113_RS10690	2113641	2115035	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
gdhA	BW25113_RS09210	1836628	1837971	glutamate dehydrogenase
ycfZ	BW25113_RS05830	1175935	1176723	putative inner membrane protein YcfZ
tsuB	BW25113_RS10515	2077707	2077934	putative thiosulfate sulfurtransferase
safA	BW25113_RS07865	1578019	1578216	two-component system connector SafA
