"","gene","entry","gene_start","gene_end","gene_length","Binomial","ConNIS","ExpVsGamma","Geometric","InsDens","Tn5Gaps"
"1","dnaK",14159,12163,14079,1916,"essential","essential","non-essential","essential","non-essential","essential"
"2","insL-1",14161,15445,16557,1112,"essential","essential","essential","essential","essential","essential"
"3","insB-1",14166,19811,20314,503,"non-essential","essential","essential","non-essential","essential","essential"
"4","insA-1",14167,20233,20508,275,"non-essential","essential","essential","non-essential","essential","essential"
"5","rpsT",14168,20815,21078,263,"non-essential","essential","essential","non-essential","essential","non-essential"
"6","yaaY",14169,21181,21399,218,"non-essential","non-essential","essential","non-essential","essential","non-essential"
"7","ribF",14170,21407,22348,941,"essential","essential","essential","essential","essential","essential"
"8","ileS",14171,22391,25207,2816,"essential","essential","essential","essential","essential","essential"
"9","lspA",14172,25207,25701,494,"non-essential","essential","essential","non-essential","essential","essential"
"10","ispH",14174,26277,27227,950,"essential","essential","essential","essential","essential","essential"
"11","dapB",14176,28374,29195,821,"essential","essential","essential","essential","essential","essential"
"12","folA",14194,49823,50302,479,"non-essential","essential","essential","non-essential","essential","non-essential"
"13","imp",14200,54755,57109,2354,"essential","essential","essential","essential","essential","essential"
"14","araA",14208,66835,68337,1502,"essential","essential","essential","essential","essential","essential"
"15","araB",14209,68348,70048,1700,"essential","essential","essential","essential","essential","essential"
"16","ftsL",14229,91032,91397,365,"non-essential","essential","non-essential","non-essential","non-essential","non-essential"
"17","ftsI",14230,91413,93179,1766,"essential","essential","essential","essential","essential","essential"
"18","murE",14231,93166,94653,1487,"essential","essential","essential","essential","essential","essential"
"19","murF",14232,94650,96008,1358,"essential","essential","essential","essential","essential","essential"
"20","mraY",14233,96002,97084,1082,"essential","essential","essential","essential","essential","essential"
"21","murD",14234,97087,98403,1316,"essential","non-essential","non-essential","non-essential","non-essential","non-essential"
"22","ftsW",14235,98403,99647,1244,"essential","essential","non-essential","essential","essential","essential"
"23","murG",14236,99644,100711,1067,"essential","essential","essential","essential","essential","essential"
"24","murC",14237,100765,102240,1475,"essential","essential","essential","essential","essential","essential"
"25","ftsQ",14239,103155,103985,830,"non-essential","essential","non-essential","essential","non-essential","essential"
"26","ftsA",14240,103982,105244,1262,"essential","essential","essential","essential","essential","essential"
"27","ftsZ",14241,105305,106456,1151,"essential","essential","essential","essential","essential","essential"
"28","lpxC",14242,106557,107474,917,"non-essential","essential","non-essential","essential","non-essential","essential"
"29","secA",14244,108279,110984,2705,"essential","essential","non-essential","essential","essential","essential"
"30","coaE",14249,112599,113219,620,"essential","essential","essential","non-essential","essential","essential"
"31","aceF",14261,125695,127587,1892,"essential","essential","non-essential","essential","essential","essential"
"32","lpd",14262,127912,129336,1424,"essential","essential","essential","essential","essential","essential"
"33","can",14272,142008,142670,662,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"34","folK",14288,157253,157732,479,"non-essential","essential","non-essential","non-essential","non-essential","non-essential"
"35","hemL",14300,173602,174882,1280,"essential","essential","non-essential","essential","essential","essential"
"36","yadR",14302,176610,176954,344,"non-essential","essential","essential","non-essential","essential","non-essential"
"37","dapD",14312,185123,185947,824,"essential","essential","essential","essential","essential","essential"
"38","glnD",14313,185978,188650,2672,"non-essential","non-essential","non-essential","essential","non-essential","essential"
"39","map",14314,188712,189506,794,"non-essential","essential","non-essential","essential","essential","essential"
"40","tff",1936221,189712,189847,135,"non-essential","non-essential","non-essential","non-essential","non-essential","essential"
"41","rpsB",14315,189874,190599,725,"non-essential","essential","non-essential","non-essential","essential","essential"
"42","tsf",14316,190857,191708,851,"essential","essential","essential","essential","essential","essential"
"43","pyrH",14317,191855,192580,725,"essential","essential","essential","essential","essential","essential"
"44","frr",14318,192872,193429,557,"non-essential","essential","essential","non-essential","essential","non-essential"
"45","dxr",14319,193521,194717,1196,"essential","essential","essential","essential","essential","essential"
"46","ispU",14320,194903,195664,761,"essential","essential","essential","essential","essential","essential"
