locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
b0001,thrL,0,190,255,1,276,0.15,66,9,thr operon leader peptide
b0002,thrA,0,337,2799,1,7567,0.100586377988272,2463,223,fused aspartate kinase/homoserine dehydrogenase 1
b0003,thrB,0,2801,3733,1,3586,0.123809523809524,933,104,homoserine kinase
b0004,thrC,0,3734,5020,1,3983,0.0966350301984469,1287,112,threonine synthase
b0005,yaaX,0,5234,5530,1,1406,0.111940298507463,297,30,DUF2502 domain-containing protein YaaX
b0006,yaaA,0,5683,6459,-1,2265,0.0971428571428571,777,68,peroxide stress resistance protein YaaA
b0007,yaaJ,0,6529,7959,-1,4303,0.108695652173913,1431,140,putative transporter YaaJ
b0008,talB,0,8238,9191,1,4017,0.115250291036088,954,99,transaldolase B
b0009,mog,0,9306,9893,1,1972,0.124528301886792,588,66,molybdopterin adenylyltransferase
b0010,satP,0,9928,10494,-1,1450,0.101761252446184,567,52,acetate/succinate:H(+) symporter
b0011,yaaW,0,10643,11356,-1,1943,0.0933125972006221,714,60,putative enzyme-specific chaperone YaaW
b0012,mbiA,0,10830,11315,1,1263,0.089041095890411,486,39,uncharacterized protein MbiA
b0013,yaaI,0,11382,11786,-1,2022,0.16986301369863,405,62,DUF2541 domain-containing protein YaaI
b0014,dnaK,0,12163,14079,1,330,0.0139049826187717,1917,24,chaperone protein DnaK
b0015,dnaJ,0,14168,15298,1,2200,0.0972495088408644,1131,99,chaperone protein DnaJ
b0016,insL1,0,15445,16557,1,2715,0.176646706586826,1113,177,IS186/IS421 transposase
b0018,mokC,0,16751,16960,-1,2674,0.227513227513228,210,43,regulatory protein MokC
b4412,hokC,0,16751,16903,-1,924,0.166666666666667,153,23,protein HokC
b4413,sokC,0,16952,17006,1,771,0.2,55,10,
b0019,nhaA,0,17489,18655,1,3739,0.136060894386299,1167,143,Na(+):H(+) antiporter NhaA
b0020,nhaR,0,18715,19620,1,4086,0.142156862745098,906,116,DNA-binding transcriptional activator NhaR
b0021,insB1,0,19811,20314,-1,994,0.270925110132159,504,123,IS1 protein InsB
b0022,insA1,0,20233,20508,-1,576,0.257028112449799,276,64,IS1 protein InsA
b0023,rpsT,0,20815,21078,-1,10,0.00420168067226891,264,1,30S ribosomal subunit protein S20
b0024,yaaY,0,21181,21399,1,232,0.0606060606060606,219,12,DUF2575 domain-containing protein YaaY
b0025,ribF,0,21407,22348,1,0,0,942,0,bifunctional riboflavin kinase/FMN adenylyltransferase
