"","gene","entry","gene_start","gene_end","gene_length","Binomial","ConNIS","ExpVsGamma","Geometric","InsDens","Tn5Gaps"
"1","thrA","STM14_0002",337,2799,2462,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"2","thrB","STM14_0003",2801,3730,929,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"3","thrC","STM14_0004",3734,5020,1286,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"4","yaaA","STM14_0005",5114,5887,773,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"5","yaaJ","STM14_0006",5966,7396,1430,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"6","talB","STM14_0007",7665,8618,953,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"7","mogA","STM14_0008",8729,9319,590,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"8","yaaH","STM14_0009",9376,9942,566,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"9","htgA","STM14_0010",10092,10805,713,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"10","yaaI","STM14_0011",10841,11245,404,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"11","unnamed_gene_1","STM14_0012",11257,11424,167,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"12","dnaK","STM14_0013",11593,13509,1916,"essential","non-essential","non-essential","essential","essential","essential"
"13","dnaJ","STM14_0014",13595,14734,1139,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"14","unnamed_gene_2","STM14_0015",14845,14958,113,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"15","unnamed_gene_6","STM14_0019",17043,17486,443,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"16","unnamed_gene_9","STM14_0022",17867,19966,2099,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"17","unnamed_gene_10","STM14_0023",20058,23054,2996,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"18","unnamed_gene_11","STM14_0024",23091,23240,149,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"19","unnamed_gene_13","STM14_0026",24094,24198,104,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"20","unnamed_gene_14","STM14_0027",24316,24426,110,"non-essential","non-essential","essential","non-essential","non-essential","non-essential"
"21","bcfC","STM14_0030",25803,28424,2621,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"22","bcfD","STM14_0031",28425,29432,1007,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"23","bcfE","STM14_0032",29433,29978,545,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"24","bcfF","STM14_0033",29994,30512,518,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"25","bcfG","STM14_0034",30478,31209,731,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"26","bcfH","STM14_0035",31274,32119,845,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"27","unnamed_gene_18","STM14_0039",34376,34816,440,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"28","unnamed_gene_19","STM14_0040",34828,34974,146,"non-essential","non-essential","essential","non-essential","non-essential","non-essential"
"29","unnamed_gene_23","STM14_0044",40131,41624,1493,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"30","unnamed_gene_24","STM14_0045",41723,42913,1190,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"31","nhaA","STM14_0048",46190,47356,1166,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"32","nhaR","STM14_0049",47418,48317,899,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"33","unnamed_gene_27","STM14_0050",48372,50411,2039,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"34","rpsT","STM14_0052",52280,52543,263,"non-essential","non-essential","essential","non-essential","non-essential","non-essential"
"35","yaaY","STM14_0053",52649,52864,215,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"36","ribF","STM14_0054",52872,53810,938,"essential","essential","essential","essential","non-essential","essential"
"37","ileS","STM14_0055",53855,56689,2834,"essential","essential","non-essential","essential","non-essential","essential"
"38","lspA","STM14_0056",56689,57189,500,"essential","essential","essential","non-essential","non-essential","essential"
"39","unnamed_gene_29","STM14_0057",57203,57334,131,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"40","slpA","STM14_0058",57344,57793,449,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"41","ispH","STM14_0059",57796,58746,950,"essential","essential","essential","essential","non-essential","essential"
"42","unnamed_gene_30","STM14_0060",58946,60148,1202,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"43","rihC","STM14_0061",60164,61084,920,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"44","unnamed_gene_33","STM14_0064",63548,64849,1301,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"45","unnamed_gene_34","STM14_0065",64862,66637,1775,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"46","unnamed_gene_35","STM14_0066",66654,66893,239,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"47","unnamed_gene_36","STM14_0067",67052,68392,1340,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"48","unnamed_gene_37","STM14_0068",68513,68671,158,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"49","citC2","STM14_0069",68637,69680,1043,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"50","citD2","STM14_0070",69710,70003,293,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"51","citE2","STM14_0071",70000,70869,869,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"52","citF2","STM14_0072",70880,72400,1520,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"53","citX2","STM14_0073",72400,72951,551,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"54","citG2","STM14_0074",72929,73837,908,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"55","dapB","STM14_0075",74017,74838,821,"essential","essential","essential","essential","non-essential","essential"
"56","unnamed_gene_38","STM14_0076",74964,75239,275,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"57","carA","STM14_0077",75881,77029,1148,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"58","carB","STM14_0078",77048,80275,3227,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"59","caiE","STM14_0082",81732,82328,596,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"60","caiD","STM14_0083",82437,83222,785,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"61","caiC","STM14_0084",83276,84829,1553,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"62","caiB","STM14_0085",84892,86109,1217,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"63","unnamed_gene_40","STM14_0086",86109,86246,137,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"64","caiA","STM14_0087",86221,87363,1142,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"65","caiT","STM14_0088",87398,88915,1517,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"66","unnamed_gene_41","STM14_0089",89119,89328,209,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"67","fixA","STM14_0090",89396,90166,770,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"68","fixB","STM14_0091",90182,91123,941,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"69","fixC","STM14_0092",91173,92459,1286,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"70","fixX","STM14_0093",92456,92743,287,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"71","yaaU","STM14_0094",92890,94230,1340,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"72","unnamed_gene_48","STM14_0101",98644,98802,158,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"73","unnamed_gene_49","STM14_0102",98738,99019,281,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"74","yabF","STM14_0103",98967,99497,530,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"75","kefC","STM14_0104",99490,101352,1862,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"76","unnamed_gene_50","STM14_0105",101349,101474,125,"non-essential","non-essential","essential","non-essential","non-essential","essential"
"77","folA","STM14_0106",101551,102030,479,"essential","essential","essential","non-essential","non-essential","essential"
"78","apaH","STM14_0107",102136,102984,848,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"79","apaG","STM14_0108",102995,103372,377,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"80","ksgA","STM14_0109",103375,104196,821,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"81","pdxA_1","STM14_0110",104193,105182,989,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"82","surA","STM14_0111",105182,106468,1286,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"83","imp","STM14_0112",106522,108882,2360,"essential","essential","non-essential","essential","non-essential","essential"
