seqid	start	end	strand	gene	locus_tag
CP000031.2	1	1869	+	gidA	SPO0001
CP000031.2	1866	2480	+	gidB	SPO0002
CP000031.2	2473	3276	+	parA	SPO0003
CP000031.2	3299	4189	+	parB	SPO0004
CP000031.2	4179	4532	-		SPO0005
CP000031.2	4536	5693	-		SPO0006
CP000031.2	5683	6297	-		SPO0007
CP000031.2	6294	7007	-	rph	SPO0008
CP000031.2	7130	8194	+	hrcA	SPO0009
CP000031.2	8205	8768	+	grpE	SPO0010
CP000031.2	8822	11455	-	mutS	SPO0011
CP000031.2	11598	13853	+	maeB	SPO0012
CP000031.2	13857	14729	+	rbsK	SPO0013
CP000031.2	14726	15388	-	msrA-1	SPO0014
CP000031.2	15491	16264	+		SPO0015
CP000031.2	16332	16613	-		SPO0016
CP000031.2	16689	17132	-		SPO0017
CP000031.2	17129	18358	-	argG	SPO0018
CP000031.2	18450	19280	+		SPO0019
CP000031.2	19338	20564	+	ilvA	SPO0020
CP000031.2	20571	20924	-		SPO0021
CP000031.2	21005	22342	+		SPO0022
CP000031.2	22329	22781	-		SPO0023
CP000031.2	22858	23838	+	hslO	SPO0024
CP000031.2	23831	24427	+		SPO0025
CP000031.2	24424	25578	+		SPO0026
CP000031.2	25770	27608	+		SPO0027
CP000031.2	27605	29437	+		SPO0028
CP000031.2	29456	30709	+	rumA	SPO0029
CP000031.2	30727	31503	+		SPO0030
CP000031.2	31568	32086	+		SPO0031
CP000031.2	32458	33366	+		SPO0033
CP000031.2	33377	34816	-		SPO0034
CP000031.2	34823	36502	-		SPO0035
CP000031.2	36520	37542	-		SPO0036
CP000031.2	37703	38752	-		SPO0037
CP000031.2	38766	39566	-	kdsB	SPO0038
CP000031.2	39567	40364	-	cysQ	SPO0039
CP000031.2	40483	41304	+		SPO0040
CP000031.2	41301	41885	+		SPO0041
CP000031.2	41882	42478	-		SPO0042
CP000031.2	42698	44611	+	dnaK	SPO0043
CP000031.2	44687	45832	+	dnaJ	SPO0044
CP000031.2	46122	46925	+	thiD	SPO0045
CP000031.2	46922	47899	+		SPO0046
CP000031.2	47883	48077	+	thiS	SPO0046a
CP000031.2	48081	48845	+	thiG	SPO0047
CP000031.2	48842	49438	+	thiE	SPO0048
CP000031.2	49417	50400	+		SPO0049
CP000031.2	50309	51349	+		SPO0050
CP000031.2	51382	52026	+		SPO0051
CP000031.2	51960	52751	+		SPO0052
CP000031.2	52706	53482	+		SPO0053
CP000031.2	53600	54274	+	radC	SPO0054
CP000031.2	54337	55893	-		SPO0055
CP000031.2	55919	56911	-		SPO0056
CP000031.2	57011	59716	-	secA	SPO0057
CP000031.2	59912	60742	+		SPO0058
CP000031.2	60750	61976	+	argJ	SPO0059
CP000031.2	61973	62371	+	mutT	SPO0060
CP000031.2	62848	65355	-	infB	SPO0061
CP000031.2	65364	65987	-		SPO0062
CP000031.2	66012	67637	-	nusA	SPO0063
CP000031.2	67637	68263	-		SPO0064
CP000031.2	68420	69241	-		SPO0065
CP000031.2	69238	70188	-	pip	SPO0066
CP000031.2	70268	71014	+	ubiG	SPO0067
CP000031.2	71105	71545	-		SPO0068
CP000031.2	71558	72388	-		SPO0069
CP000031.2	72385	72645	-		SPO0070
CP000031.2	72738	73466	-		SPO0071
CP000031.2	73483	74316	+		SPO0072
CP000031.2	74429	75424	+	hemH	SPO0073
CP000031.2	75521	75706	-		SPO0074
CP000031.2	75848	76474	-		SPO0075
CP000031.2	76609	77127	+		SPO0076
CP000031.2	77195	77659	-	ptsN	SPO0077
CP000031.2	77723	78286	-		SPO0078
CP000031.2	78536	79294	-		SPO0079
CP000031.2	79294	79785	-		SPO0080
CP000031.2	79789	80397	-		SPO0081
CP000031.2	80401	81369	-	kdsD	SPO0082
CP000031.2	81366	81980	-		SPO0083
CP000031.2	82247	83701	-	betB	SPO0084
CP000031.2	83874	84212	+		SPO0085
CP000031.2	84326	85588	+		SPO0086
CP000031.2	85616	86671	+		SPO0087
CP000031.2	86668	88158	+		SPO0088
CP000031.2	88160	89155	+		SPO0089
CP000031.2	89159	90235	+		SPO0090
CP000031.2	90242	91147	-		SPO0091
CP000031.2	91224	92447	-		SPO0092
CP000031.2	92595	93185	+	pncA	SPO0093
CP000031.2	93264	95495	+		SPO0094
CP000031.2	95526	96869	+	pncB	SPO0095
CP000031.2	96926	97840	-		SPO0096
CP000031.2	97843	99294	-		SPO0097
CP000031.2	99759	101357	-		SPO0098
CP000031.2	101354	102169	-		SPO0099
CP000031.2	102166	103113	-		SPO0100
CP000031.2	103222	104709	-		SPO0101
CP000031.2	104880	105719	+	panB	SPO0102
CP000031.2	105716	106573	+	panC	SPO0103
CP000031.2	106644	108122	+	glpK	SPO0104
CP000031.2	108119	109378	-		SPO0105
CP000031.2	109440	110210	-		SPO0106
CP000031.2	110244	112283	-	recQ	SPO0107
CP000031.2	112680	112952	-		SPO0108
CP000031.2	113139	114266	-		SPO0109
CP000031.2	114268	116994	-		SPO0110
CP000031.2	116991	118055	-		SPO0111
CP000031.2	118243	120084	+		SPO0112
CP000031.2	120115	120879	+	fabI-1	SPO0113
CP000031.2	120897	121097	+		SPO0114
CP000031.2	121130	122524	+		SPO0115
CP000031.2	122521	123705	+	ackA	SPO0116
CP000031.2	126237	127478	+		SPO0118
CP000031.2	127691	128194	-		SPO0119
CP000031.2	128242	129201	+		SPO0120
CP000031.2	130161	130448	-		SPO0122
CP000031.2	130602	131966	+		SPO0123
CP000031.2	131966	132847	+	mepA	SPO0124
CP000031.2	132820	133704	+		SPO0125
CP000031.2	133714	134445	+		SPO0126
CP000031.2	134704	135123	+		SPO0127
CP000031.2	135168	135923	+		SPO0128
CP000031.2	135951	136958	+		SPO0129
CP000031.2	137081	137494	+		SPO0130
CP000031.2	137668	138210	+		SPO0131
CP000031.2	138223	140442	-		SPO0132
CP000031.2	140575	146001	+		SPO0133
CP000031.2	145998	146564	+		SPO0134
CP000031.2	146554	148593	+	pbpC	SPO0135
CP000031.2	148600	150645	-		SPO0136
CP000031.2	150642	153404	-		SPO0137
CP000031.2	153401	154276	-		SPO0138
CP000031.2	154273	155280	-		SPO0139
CP000031.2	155346	155927	+		SPO0140
CP000031.2	155946	156515	-		SPO0141
CP000031.2	156963	158138	+	bktB	SPO0142
CP000031.2	158208	159194	-		SPO0143
CP000031.2	159233	160762	-	ubiB	SPO0144
CP000031.2	160766	161539	-	ubiE	SPO0145
CP000031.2	161604	162455	+	mutM	SPO0146
CP000031.2	162522	163298	+		SPO0147
CP000031.2	163518	163781	+	rpsT	SPO0148
CP000031.2	164331	165737	+	dnaA	SPO0149
CP000031.2	165999	167117	+	dnaN	SPO0150
CP000031.2	167177	168277	+	recF	SPO0151
CP000031.2	168274	168894	+		SPO0152
CP000031.2	168887	169474	-		SPO0153
CP000031.2	169581	170174	+		SPO0154
CP000031.2	170259	172676	+	gyrB	SPO0155
CP000031.2	172724	174295	-	rtcR	SPO0156
CP000031.2	174344	176026	+		SPO0157
CP000031.2	176231	176306	+		SPO_tRNA-Gln-1
CP000031.2	176312	176389	+		SPO_tRNA-Pro-2
CP000031.2	177007	178419	+		SPO0160
CP000031.2	178533	179147	-		SPO0161
CP000031.2	179479	179967	+		SPO0162
CP000031.2	180023	182494	+		SPO0163
CP000031.2	182491	184470	-		SPO0164
CP000031.2	184467	185198	-		SPO0165
CP000031.2	185200	187245	-		SPO0166
CP000031.2	187255	188823	-		SPO0167
CP000031.2	188930	189568	+		SPO0168
CP000031.2	189622	190320	+		SPO0169
CP000031.2	190330	192417	+	flhA	SPO0170
CP000031.2	192414	193187	+	fliR	SPO0171
CP000031.2	193184	194272	+	flhB	SPO0172
CP000031.2	194266	194679	+		SPO0173
CP000031.2	194774	195310	-		SPO0174
CP000031.2	195319	196059	-	flgH	SPO0175
CP000031.2	196056	196472	-	flgA	SPO0176
CP000031.2	196472	197257	-	flgG	SPO0177
CP000031.2	197281	197931	-	flgF	SPO0178
CP000031.2	197995	198267	-	fliQ	SPO0179
CP000031.2	198271	198561	-		SPO0180
CP000031.2	198574	198981	-	flgC	SPO0181
CP000031.2	198978	199394	-	flgB	SPO0182
CP000031.2	199455	200792	+	fliI	SPO0183
CP000031.2	200811	202328	-		SPO0184
CP000031.2	202330	202956	-		SPO0185
CP000031.2	203121	204098	-		SPO0186
CP000031.2	204208	204873	+		SPO0187
CP000031.2	204870	206255	+		SPO0188
CP000031.2	206225	207250	+		SPO0189
CP000031.2	207330	208943	+		SPO0190
CP000031.2	209006	209863	+	motB	SPO0191
CP000031.2	209965	211260	+		SPO0192
CP000031.2	211299	212750	+		SPO0193
CP000031.2	212754	213761	+		SPO0194
CP000031.2	213758	214858	+	flgI	SPO0195
CP000031.2	215016	215759	-	fliP	SPO0196
CP000031.2	215756	216085	-	fliN	SPO0197
CP000031.2	216042	216632	-		SPO0198
CP000031.2	216632	218236	-	fliF	SPO0199
CP000031.2	218355	218861	+	fliL	SPO0200
CP000031.2	218871	219290	+		SPO0201
CP000031.2	219287	219877	+		SPO0202
CP000031.2	219941	220810	+	motA	SPO0203
CP000031.2	220807	223038	+		SPO0204
CP000031.2	223341	224723	-		SPO0205
CP000031.2	224915	225808	+		SPO0206
CP000031.2	225805	228222	-		SPO0207
CP000031.2	228692	228768	-		SPO_tRNA-Pro-3
CP000031.2	228804	230498	+		SPO0209
CP000031.2	230495	231598	-	leuB	SPO0210
CP000031.2	231701	232597	-		SPO0211
CP000031.2	232689	233597	+		SPO0212
CP000031.2	233547	234620	-		SPO0213
CP000031.2	234617	235450	-		SPO0214
CP000031.2	235799	236404	-	leuD-1	SPO0215
CP000031.2	236489	237895	-	leuC-1	SPO0216
CP000031.2	237948	238112	-		SPO0217
CP000031.2	238133	239485	+		SPO0218
CP000031.2	239625	240011	+		SPO0219
CP000031.2	240058	240528	+		SPO0220
CP000031.2	240537	241022	+		SPO0221
CP000031.2	241109	242224	-	ald	SPO0222
CP000031.2	242364	242822	+		SPO0223
CP000031.2	242986	243903	+		SPO0224
CP000031.2	243987	244499	-		SPO0225
CP000031.2	244548	245786	+		SPO0226
CP000031.2	245787	247157	-		SPO0227
CP000031.2	247265	248473	+		SPO0228
CP000031.2	248574	248780	-	rpsU	SPO0229
CP000031.2	248890	249570	+		SPO0230
CP000031.2	249647	250630	+		SPO0231
CP000031.2	250710	251693	+		SPO0232
CP000031.2	251746	252174	+		SPO0233
CP000031.2	252290	253396	+	lysdh	SPO0234
CP000031.2	253400	254914	+	aasadh	SPO0235
CP000031.2	255034	255972	-		SPO0236
CP000031.2	255969	257024	-	upgC	SPO0237
CP000031.2	257035	257886	-	ugpE	SPO0238
CP000031.2	257886	258806	-	ugpA	SPO0239
CP000031.2	258851	260236	-	ugpB	SPO0240
CP000031.2	260302	261231	+		SPO0241
CP000031.2	261910	263364	+	rrsA	SPO_Sp16SA
CP000031.2	263580	263656	+		SPO_tRNA-Ile-1
CP000031.2	263730	263805	+		SPO_tRNA-Ala-1
CP000031.2	264255	267149	+	rrlA	SPO_Sp23SA
CP000031.2	267353	267470	+	rrfD	SPO_Sp5SD
CP000031.2	267660	269588	-	dxs	SPO0247
CP000031.2	269616	270482	-	ispA	SPO0248
CP000031.2	270485	270703	-	xseB	SPO0249
CP000031.2	270724	271650	-		SPO0250
CP000031.2	271676	272377	-	petR	SPO0251
CP000031.2	272374	272886	-	petP	SPO0252
CP000031.2	273044	273910	+	ilvE	SPO0253
CP000031.2	273966	274406	-	ohr	SPO0254
CP000031.2	274505	274942	+		SPO0255
CP000031.2	274955	275284	-		SPO0256
CP000031.2	275275	275799	-		SPO0257
CP000031.2	275937	276917	+		SPO0258
CP000031.2	276985	277395	+		SPO0259
CP000031.2	277569	279137	+		SPO0260
CP000031.2	279220	280086	-		SPO0261
CP000031.2	280092	280691	-	cobO	SPO0262
CP000031.2	280748	281791	-		SPO0263
CP000031.2	281790	283121	+		SPO0264
CP000031.2	283122	284063	-		SPO0265
CP000031.2	284060	284764	-		SPO0266
CP000031.2	284706	285806	-	aroC	SPO0267
CP000031.2	285959	286696	-	ribH-1	SPO0268
CP000031.2	286691	287305	+		SPO0269
CP000031.2	287383	287994	+		SPO0270
CP000031.2	288197	288760	+	petA	SPO0271
