"","gene","entry","gene_start","gene_end","gene_length","Binomial","ConNIS","ExpVsGamma","Geometric","InsDens","Tn5Gaps"
"1","dnaK","b0014",12163,14079,1916,"essential","essential","non-essential","essential","non-essential","essential"
"2","rpsT","b0023",20815,21078,263,"essential","essential","non-essential","essential","essential","essential"
"3","ribF","b0025",21407,22348,941,"essential","essential","essential","essential","essential","essential"
"4","ileS","b0026",22391,25207,2816,"essential","essential","essential","essential","essential","essential"
"5","lspA","b0027",25207,25701,494,"essential","essential","essential","essential","essential","essential"
"6","ispH","b0029",26277,27227,950,"essential","essential","essential","essential","essential","essential"
"7","dapB","b0031",28374,29195,821,"essential","essential","essential","essential","essential","essential"
"8","folA","b0048",49823,50302,479,"essential","essential","essential","essential","essential","essential"
"9","lptD","b0054",54755,57109,2354,"essential","essential","essential","essential","essential","essential"
"10","sroA","b4762",75516,75608,92,"non-essential","non-essential","non-essential","non-essential","essential","non-essential"
"11","mraZ","b0081",89634,90092,458,"essential","essential","non-essential","essential","non-essential","essential"
"12","rsmH","b0082",90094,91035,941,"essential","essential","non-essential","essential","non-essential","essential"
"13","ftsL","b0083",91032,91397,365,"essential","essential","essential","essential","essential","essential"
"14","ftsI","b0084",91413,93179,1766,"essential","essential","essential","essential","essential","essential"
"15","murE","b0085",93166,94653,1487,"essential","essential","essential","essential","essential","essential"
"16","murF","b0086",94650,96008,1358,"essential","essential","essential","essential","essential","essential"
"17","mraY","b0087",96002,97084,1082,"essential","essential","essential","essential","essential","essential"
"18","murD","b0088",97087,98403,1316,"essential","essential","essential","essential","essential","essential"
"19","ftsW","b0089",98403,99647,1244,"essential","essential","essential","essential","essential","essential"
"20","murG","b0090",99644,100711,1067,"essential","essential","essential","essential","essential","essential"
"21","murC","b0091",100765,102240,1475,"essential","essential","essential","essential","essential","essential"
"22","ftsQ","b0093",103155,103985,830,"essential","essential","essential","essential","essential","essential"
"23","ftsA","b0094",103982,105244,1262,"essential","essential","essential","essential","essential","essential"
"24","ftsZ","b0095",105305,106456,1151,"essential","essential","essential","essential","essential","essential"
"25","lpxC","b0096",106557,107474,917,"essential","essential","essential","essential","essential","essential"
"26","secM","b0097",107705,108217,512,"essential","essential","essential","essential","essential","essential"
"27","secA","b0098",108279,110984,2705,"essential","essential","non-essential","essential","essential","essential"
"28","coaE","b0103",112599,113219,620,"essential","essential","non-essential","essential","essential","essential"
"29","lpd","b0116",127912,129336,1424,"essential","essential","non-essential","essential","essential","essential"
"30","acnB","b0118",131615,134212,2597,"non-essential","non-essential","non-essential","essential","non-essential","non-essential"
"31","can","b0126",142008,142670,662,"essential","essential","essential","essential","essential","essential"
"32","yadK","b0136",151003,151599,596,"non-essential","essential","non-essential","essential","non-essential","essential"
"33","hemL","b0154",173602,174882,1280,"essential","essential","essential","essential","essential","essential"
"34","yadW","b4728",176552,176617,65,"non-essential","essential","non-essential","non-essential","non-essential","essential"
"35","erpA","b0156",176610,176954,344,"essential","essential","essential","essential","essential","essential"
"36","dapD","b0166",185123,185947,824,"essential","essential","essential","essential","essential","essential"
"37","glnD","b0167",185978,188650,2672,"non-essential","essential","non-essential","essential","non-essential","essential"
"38","map","b0168",188712,189506,794,"essential","essential","essential","essential","essential","essential"
"39","tff","b4414",189712,189847,135,"non-essential","essential","essential","non-essential","essential","essential"
"40","rpsB","b0169",189874,190599,725,"essential","essential","essential","essential","essential","essential"
"41","tsf","b0170",190857,191708,851,"essential","essential","essential","essential","essential","essential"
"42","pyrH","b0171",191855,192580,725,"essential","essential","essential","essential","essential","essential"
"43","frr","b0172",192872,193429,557,"essential","essential","essential","essential","essential","essential"
"44","dxr","b0173",193521,194717,1196,"essential","essential","essential","essential","essential","essential"
"45","uppS","b0174",194903,195664,761,"essential","essential","essential","essential","essential","essential"
"46","cdsA","b0175",195677,196534,857,"essential","essential","essential","essential","essential","essential"
"47","rseP","b0176",196546,197898,1352,"essential","essential","essential","essential","essential","essential"
"48","bamA","b0177",197928,200360,2432,"essential","essential","essential","essential","essential","essential"
"49","lpxD","b0179",200971,201996,1025,"essential","essential","essential","essential","essential","essential"
"50","fabZ","b0180",202101,202556,455,"essential","essential","essential","essential","essential","essential"
